id,name,chain,protocol,base,reward,apy,tvl,link,is_new,watched,class,has_rewards
24784,DAI,Ethereum,Compound,0.00978489,0.00824868,0.01803356,343738886,https://api.coindix.com/vault/24784/redirect,False,False,A,yes
272517,USDC-DAI,Optimism,Uniswap,0.0179515,0.0,0.0179515,868309,https://api.coindix.com/vault/272517/redirect,False,False,C,no
17292,DAI,Ethereum,Yearn,0.0177,0.0,0.0177,45614723,https://api.coindix.com/vault/17292/redirect,False,False,B,no
273012,USDC-DAI,Polygon,Uniswap,0.0170638,0.0,0.0170638,196597,https://api.coindix.com/vault/273012/redirect,False,False,C,no
63651,USDC-USDT,Heco,MDEX,0.01084584,0.00511987,0.01596571,157670,https://api.coindix.com/vault/63651/redirect,False,False,C,yes
45556,USDC.e-USDT.e,Avalanche,Pangolin,0.00583076,0.01,0.01583076,51832,https://api.coindix.com/vault/45556/redirect,False,False,C,yes
17662,BUSD,BNB Chain,Venus,0.01166253,0.00405002,0.01571255,128035694,https://api.coindix.com/vault/17662/redirect,False,False,A,yes
169994,XAUt-3Crv,Ethereum,Curve,0.0001,0.0156,0.0157,3600000,https://api.coindix.com/vault/169994/redirect,False,False,C,yes
16408,USDC-BUSD,BNB Chain,Beefy,0.01495465,0.0,0.01495465,1928589,https://api.coindix.com/vault/16408/redirect,False,False,C,no
17661,USDT,BNB Chain,Venus,0.01158049,0.00332423,0.01490472,155933976,https://api.coindix.com/vault/17661/redirect,False,False,A,yes
36103,USDC,BNB Chain,Belt,0.0,0.0145,0.0145,2500000,https://api.coindix.com/vault/36103/redirect,False,False,C,yes
17585,USDC,Fantom,Cream,0.014324,0.0,0.014324,925048,https://api.coindix.com/vault/17585/redirect,False,False,C,no
51281,USDC,Fantom,IronBank,0.0143,0.0,0.0143,925048,https://api.coindix.com/vault/51281/redirect,False,False,C,no
120690,DAI,Fantom,Sturdy,0.01429211,0.0,0.01429211,72078,https://api.coindix.com/vault/120690/redirect,False,False,C,no
120688,USDC,Fantom,Sturdy,0.01429211,0.0,0.01429211,472853,https://api.coindix.com/vault/120688/redirect,False,False,C,no
169996,wBTC-renBTC,Arbitrum,Curve,0.0001,0.0141,0.0142,9600000,https://api.coindix.com/vault/169996/redirect,False,False,C,yes
17342,USDT,BNB Chain,ACryptoS,0.0138,0.0,0.0138,139000,https://api.coindix.com/vault/17342/redirect,False,False,C,no
39238,MIM,Fantom,Yearn,0.0133,0.0,0.0133,218678,https://api.coindix.com/vault/39238/redirect,False,False,C,no
22922,USDT,Ethereum,Aave,0.01327899,0.0,0.01327899,439161728,https://api.coindix.com/vault/22922/redirect,False,False,A,no
274365,DAI-USDT,Polygon,Uniswap,0.0130087,0.0,0.0130087,31776,https://api.coindix.com/vault/274365/redirect,False,False,C,no
